iso3,gwcode,country_name,capital_name,capital_name_normalized,valid_from,valid_until,capital_longitude,capital_latitude,iso3_source,source_rows_merged,cshapes_status,cshapes_version,reference_source,source_url,methodological_note,source_file_sha256
GAB,481,Gabon,Libreville,libreville,1993-01-01,2020-12-31,9.45,0.38333,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
GBR,200,United Kingdom,London,london,1993-01-01,2020-12-31,-0.116667,51.5,country_converter,2,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
GEO,372,Georgia,T'bilisi,t bilisi,1993-01-01,2020-12-31,44.7908,41.725,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
GHA,452,Ghana,Accra,accra,1993-01-01,2020-12-31,-0.216667,5.55,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
GIN,438,Guinea,Conakry,conakry,1993-01-01,2020-12-31,-13.6619,9.55133,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
GMB,420,Gambia,Banjul,banjul,1993-01-01,2020-12-31,-16.5917,13.4539,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
GNB,404,Guinea-Bissau,Bissau,bissau,1993-01-01,2020-12-31,-15.58,11.8588,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
GNQ,411,Equatorial Guinea,Malabo,malabo,1993-01-01,2020-12-31,8.7371,3.75041,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
GRC,350,Greece,Athens,athens,1993-01-01,2020-12-31,23.7333,37.9833,country_converter,3,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
GTM,90,Guatemala,Guatemala City,guatemala city,1993-01-01,2020-12-31,-90.5269,14.6211,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
GUY,110,Guyana,Georgetown,georgetown,1993-01-01,2020-12-31,-58.1667,6.8,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
HKG,,Hong Kong,Hong Kong,hong kong,1993-01-01,2020-12-31,114.1694,22.3193,manual_reference,1,not_in_cshapes_independent_states,2.1,manual_territory_proxy,https://www.basiclaw.gov.hk/en/basiclaw/chapter5.html,Manual analytic proxy because HKG is a separate FDI economy but not an independent CShapes state. Hong Kong has no separate national capital; Hong Kong is used as the capital-equivalent city for this territorial unit.,
