year,gdp_per_capita_constant,gdp_per_capita_current,gdp_deflator,gfkf_percent,gfkf_privat,natural_resources_rents,population_share_largest_city,population_total,fdi_inflow_percent,fdi_inflow_abs,fdi_outflow_percent,fdi_outflow_abs,trade_share,tax_as_perc_of_revenue,tax_of_gdp,mobile_phone_subs,telephone_subs,prim_netenrol,lowsec_netenrol,upsec_netenrol,cc,ge,pv,rl,rq,va,ISO3
1979,1133.68037540161,345.86913707629,11.5357313213431,,,8.8595676872024,36.2631481939167,3207499.0,1.44979592586222,16083672.2666094,0.0,0.0,46.990557541686,,,0.0,,,,,,,,,,,SLE
1980,1165.12783269719,336.386279506102,-6.00875058256059,14.8507139766335,9.53388143660753,10.4874243786702,36.8075161061585,3272089.0,-1.69623919438768,-18670264.7086585,0.0,0.0,61.0817827780182,,,0.0,0.34001717,,,,,,,,,,SLE
1981,1174.70023539592,333.887542728491,8.69831224790912,18.2789041943972,11.7012846308621,9.02758744883039,37.3777585291625,3338940.0,0.673271279631899,7505833.38400777,0.0,0.0,62.7534437393592,,,0.0,0.334583609,,,,,,,,,,SLE
1982,1205.86429259504,380.074041189746,18.5016273255266,12.7827983795575,7.14895606107822,10.5386663282049,37.9814810262771,3408183.0,0.361483203616677,4682515.64366817,0.0,0.0,41.6889996883764,,,0.0,0.343383401,,,,,,,,,,SLE
1983,1155.5985621559,285.814326139727,19.4389560072008,12.541975374447,8.06790682799424,10.2812536436439,38.5973446027556,3481646.0,0.170566586135107,1697315.44211398,0.0,0.0,33.1059111987634,,,0.0,0.353898588,44.55386,,,,,,,,,SLE
1984,1176.83294082111,305.576232491583,39.7672585975683,12.1560725407584,8.50239970690603,9.30024741918731,39.236327934972,3558758.0,0.538560175945789,5856690.37329043,0.0,0.0,23.0298589485254,,,0.0,0.399589555,,,20.51018,,,,,,,SLE
1985,1089.92411667933,235.510529343624,68.8897065046573,9.71821305841924,6.70744558991982,9.60840408861008,39.9055132132528,3638438.0,-3.61271407759756,-30957002.2550321,0.0,0.0,31.4318442153494,,,0.0,0.338452438,,,20.51066,,,,,,,SLE
1986,1076.77818848429,131.473041005587,78.5038040081838,9.25076064908722,5.7441430020284,22.0276769922435,40.0018866940899,3728380.0,-28.6242557290297,-140310793.680454,0.0,0.0,26.9269776876268,,,0.0,0.392930683,,,31.50931,,,,,,,SLE
1987,1124.08995764348,172.364214833661,165.67664586954,10.1014595941616,6.29502491990032,14.2930288720551,39.5957982824222,3829718.0,5.97017942118192,39409532.6360192,0.0,0.0,55.1530793876824,,,0.0,0.320426276,,,,,,,,,,SLE
1988,1016.68318068952,268.160979625957,64.2882425011475,5.35490468896384,3.8694972706456,10.004891147993,39.2144362052232,3934517.0,-2.18830519704127,-23088456.5406273,-0.0159107152272472,-167871.4,43.1161650813632,,,0.0,0.311867175,,,19.37921,,,,,,,SLE
1989,998.840220254123,231.275622974338,61.4912801976864,8.50297484952647,5.73875538919711,12.5137848161604,38.9352274694509,4034037.0,2.39625372153875,22356434.2668809,-0.0086392400743538,-80601.9,41.5884173462192,,,0.0,0.309196752,,,19.49825,,,,,,,SLE
1990,992.259351903398,154.794072467618,70.5915477015398,13.0059154757791,8.15868111316651,19.7972836043128,38.1186585165228,4196828.0,4.99268738009791,32434698.8747351,0.0230310720224422,149620.0,68.690667371374,,,0.0,0.316,,,18.6619,,,,,,,SLE
1991,1003.77238191056,183.686515027567,128.761666792117,10.9088699140053,6.32957549606491,15.6144440320081,38.3893380468701,4246267.0,0.962133133036039,7504465.1296651,,,60.2440496086611,,,0.0,0.319,,,17.1677,,,,,,,SLE
